"External ID","Event Type","ID","Order","Discount (%)","Publish on Portal","Publish on Website","Professional Body Code"
"__export__.event_type_6","CIMA","6","1","5.0","True","True","CI"
"__export__.event_type_7","ACCA","7","","7.0","True","True","AC"
"__export__.event_type_8","CFA","8","4","7.0","True","True","CF"
"__export__.event_type_9","ICB","9","6","7.0","True","False","IC"
"__export__.event_type_11","CIMA (Full-Time Only)","11","1","5.0","True","True","AC"
"__export__.event_type_12","PC Exam","12","8","","True","False","PCE"
"__export__.event_type_13","FIA-CAT","13","7","7.0","False","False","FC"
"__export__.event_type_14","FIA - FFA","14","9","","False","False","FF"
"event_sale.event_type","SAICA","15","4","5.0","True","False","SC"
"__export__.event_type_17","ICB Exam ","17","10","","False","False",""
"__export__.event_type_18","CIMA Open Days","18","","","False","True",""
"__export__.event_type_19","ACCA Open Days","19","","","False","True",""
"__export__.event_type_20","Other Open Days","20","","","False","True",""
"__export__.event_type_22","Student Update Sessions","22","","","False","True",""
"__export__.event_type_23","Revision Classes","23","","","False","True",""
"__export__.event_type_24","CIMA (Daytime/Block Release Only)","24","3","7.0","True","False","CIMADT"
"__export__.event_type_25","FYLA Open Days","25","","","False","True","FYLA"
"__export__.event_type_26","SAICA/CIMA","26","","","False","True",""
"__export__.event_type_27","UNISA Open Days","27","","","False","True",""
"__export__.event_type_28","UNISA","28","5","7.0","True","False","UNCTA"
"__export__.event_type_29","xx","29","1","","False","False","CIMAFULL"
"__export__.event_type_31","The CFA® Programme Open Days","31","","","False","True",""
"__export__.event_type_39","Free Classes","39","","","False","True","FCR"
